point_id,425_x,425_y,426_x,426_y
1,1243,169,1311,515
2,1202,211,1270,558
3,1217,240,1286,587
4,1346,391,1417,738
5,1413,329,1483,675
6,1372,416,1443,758
7,984,165,1051,509
8,1230,391,1300,734
9,1185,340,1255,683
10,1205,271,1274,619
11,1182,207,1249,550
12,1345,289,1415,635
13,1349,285,1419,631
14,1316,379,1387,726
15,1255,128,1323,468
16,1367,184,1435,523
17,1231,325,1301,672
18,1216,284,1285,632
19,1224,143,1291,483
20,1218,170,1286,510
21,1208,178,1275,521
22,1256,173,1325,519
23,1269,186,1338,532
24,1205,260,1274,608
25,1170,311,1239,655
26,1044,273,1111,617
27,1277,363,1348,711
28,1304,378,1374,726
29,1426,287,1498,632
30,1303,171,1371,516
31,1290,170,1358,515
32,1206,227,1275,573
33,1283,246,1352,592
34,1371,373,1442,719
35,1413,221,1483,560
36,1318,138,1387,478
37,1146,171,1213,513
38,1401,401,1472,741
39,1452,338,1522,678
40,1395,255,1464,600
41,1331,196,1400,541
42,1431,153,1497,491
43,1238,468,1307,813
44,1404,458,1475,800
45,1155,33,1220,373
46,1391,352,1462,696
47,1322,234,1391,579
48,1309,336,1379,683
49,1269,174,1337,514
50,1240,158,1307,499
51,1374,354,1446,700
